bgp;CDG;HND;IAD;LHR;MIA;POA;SYD;unknown
baseline;245800.0;1.0;520290.0;796172.0;543614.0;714439.0;584351.0;2750121.0
-1xCDG;1566418.0;1.0;495453.0;443092.0;329853.0;497518.0;47549.0;2774904.0
-1xHND;235341.0;1.0;652208.0;759538.0;640007.0;801860.0;315584.0;2750249.0
-1xIAD;141394.0;1.0;1614949.0;507450.0;317966.0;231234.0;595158.0;2746636.0
-1xLHR;81971.0;1.0;508383.0;1829601.0;419133.0;492276.0;50899.0;2772524.0
-1xMIA;56436.0;1.0;542310.0;437800.0;1836628.0;510289.0;41727.0;2729597.0
-1xPOA;80825.0;1.0;520356.0;504509.0;477277.0;1579909.0;238749.0;2753162.0
-1xSYD;84457.0;1.0;536212.0;464860.0;305827.0;478714.0;1524505.0;2760212.0
-2xCDG;1860404.0;1.0;493527.0;331527.0;312425.0;338336.0;44471.0;2774097.0
-2xHND;211466.0;1.0;645365.0;890221.0;667572.0;741230.0;244695.0;2754238.0
-2xIAD;33991.0;1.0;2837756.0;166913.0;123533.0;79725.0;172216.0;2740653.0
-2xLHR;67717.0;1.0;502637.0;2139511.0;294568.0;266587.0;41862.0;2841905.0
-2xMIA;39618.0;1.0;528863.0;305963.0;2153322.0;353630.0;41587.0;2731804.0
-2xPOA;66027.0;1.0;500034.0;368141.0;429303.0;1867476.0;184674.0;2739132.0
-2xSYD;50505.0;1.0;535663.0;373872.0;141760.0;319773.0;1960582.0;2772632.0
-3xCDG;1873298.0;1.0;507882.0;299281.0;308049.0;343330.0;44260.0;2778687.0
-3xHND;243306.0;1.0;664489.0;830499.0;680274.0;719765.0;259652.0;2756802.0
-3xIAD;26630.0;1.0;2950400.0;105009.0;106189.0;76933.0;152794.0;2736832.0
-3xLHR;66549.0;1.0;632254.0;2171209.0;321096.0;144623.0;41711.0;2777345.0
-3xMIA;39461.0;1.0;528748.0;299206.0;2098516.0;350560.0;41281.0;2797015.0
-3xPOA;65179.0;1.0;496123.0;336527.0;302351.0;2037838.0;175191.0;2741578.0
-3xSYD;49988.0;1.0;532425.0;359714.0;139011.0;319112.0;1990782.0;2763755.0
-4xCDG;1887115.0;1.0;511208.0;290854.0;305851.0;344146.0;42920.0;2772693.0
-4xHND;233307.0;1.0;553036.0;806832.0;794512.0;722653.0;278163.0;2766284.0
-4xIAD;26336.0;1.0;2989863.0;82421.0;106084.0;75153.0;142535.0;2732395.0
-4xLHR;67843.0;1.0;760873.0;2175304.0;322874.0;9035.0;41780.0;2777078.0
-4xMIA;37194.0;1.0;528694.0;297676.0;2144542.0;348142.0;41208.0;2757331.0
-4xPOA;295760.0;1.0;652519.0;0.0;188009.0;2104090.0;167484.0;2746925.0
-4xSYD;53144.0;1.0;534522.0;352683.0;136827.0;314554.0;1995456.0;2767601.0
-5xCDG;1928542.0;1.0;481505.0;290629.0;292695.0;342428.0;42851.0;2776137.0
-5xHND;231949.0;1.0;526295.0;837383.0;802050.0;717964.0;280052.0;2759094.0
-5xIAD;26300.0;1.0;3015529.0;57527.0;105728.0;74987.0;142429.0;2732287.0
-5xLHR;62202.0;1.0;462291.0;2165147.0;292636.0;358948.0;41680.0;2771883.0
-5xMIA;36928.0;1.0;496524.0;296137.0;2203564.0;349794.0;41203.0;2730637.0
-5xPOA;297684.0;1.0;621209.0;0.0;216515.0;2103080.0;166610.0;2749689.0
-5xSYD;49188.0;1.0;503788.0;359715.0;136841.0;314239.0;1997357.0;2793659.0
0xCDG;0.0;1.0;524606.0;898451.0;568066.0;785460.0;588814.0;2789390.0
0xHND;300962.0;1.0;512676.0;809985.0;515612.0;662856.0;563459.0;2789237.0
0xIAD;574952.0;675.0;0.0;819646.0;586190.0;758402.0;614244.0;2800679.0
0xLHR;561638.0;1.0;730327.0;0.0;594266.0;811167.0;649882.0;2807507.0
0xMIA;281877.0;1.0;555064.0;961681.0;0.0;812621.0;745096.0;2798448.0
0xPOA;347292.0;1.0;851852.0;906501.0;696501.0;0.0;561467.0;2791174.0
0xSYD;470715.0;1.0;519713.0;823306.0;829334.0;724302.0;0.0;2787417.0
1xCDG;26843.0;1.0;518692.0;871143.0;573414.0;779012.0;618674.0;2767009.0
1xHND;285528.0;1.0;511234.0;807410.0;512860.0;665378.0;607919.0;2764458.0
1xIAD;247682.0;1.0;496264.0;764976.0;571137.0;715610.0;602439.0;2756679.0
1xLHR;513731.0;1.0;583022.0;269513.0;591990.0;767710.0;666844.0;2761977.0
1xMIA;265825.0;1.0;510327.0;939467.0;129679.0;758644.0;796428.0;2754417.0
1xPOA;267210.0;1.0;834957.0;924673.0;643822.0;123237.0;586779.0;2774109.0
1xSYD;450440.0;1.0;511518.0;810334.0;849939.0;725339.0;50786.0;2756431.0
2xCDG;23709.0;1.0;522182.0;874569.0;571178.0;778516.0;611955.0;2772678.0
2xHND;248008.0;1.0;510201.0;846798.0;523013.0;665272.0;579649.0;2781846.0
2xIAD;237991.0;1.0;494514.0;846597.0;547606.0;667576.0;589051.0;2771452.0
2xLHR;535216.0;1.0;682302.0;102354.0;601388.0;800648.0;657876.0;2775003.0
2xMIA;259658.0;1.0;545721.0;1024941.0;79526.0;689061.0;780194.0;2775686.0
2xPOA;278628.0;1.0;820920.0;933777.0;665832.0;99279.0;586707.0;2769644.0
2xSYD;410086.0;1.0;511576.0;854052.0;829560.0;722102.0;48870.0;2778541.0
3xCDG;21113.0;1.0;523013.0;877361.0;575072.0;779304.0;620329.0;2758595.0
3xHND;249532.0;1.0;510715.0;852494.0;523841.0;665873.0;596908.0;2755424.0
3xIAD;241597.0;1.0;495266.0;850191.0;543499.0;665862.0;590410.0;2767962.0
3xLHR;540528.0;1.0;715838.0;66819.0;604723.0;802205.0;665585.0;2759089.0
3xMIA;263599.0;1.0;547158.0;1025358.0;79038.0;688127.0;788494.0;2763013.0
3xPOA;276762.0;1.0;831094.0;936799.0;660348.0;98914.0;590656.0;2760214.0
3xSYD;411264.0;1.0;512430.0;856369.0;835333.0;725305.0;48886.0;2765200.0
4xCDG;21124.0;1.0;523971.0;866171.0;566130.0;787996.0;601759.0;2787636.0
4xHND;248781.0;1.0;528525.0;830882.0;525867.0;667548.0;580228.0;2772956.0
4xIAD;240232.0;1.0;495065.0;851282.0;544743.0;668226.0;586770.0;2768469.0
4xLHR;549310.0;1.0;720249.0;0.0;616437.0;828002.0;657504.0;2783285.0
4xMIA;261998.0;1.0;544496.0;1032964.0;79210.0;689086.0;776012.0;2771021.0
4xPOA;269333.0;1.0;862964.0;913656.0;632005.0;99187.0;571987.0;2805655.0
4xSYD;407253.0;1.0;530110.0;834753.0;821483.0;726749.0;48807.0;2785632.0
5xCDG;21304.0;1.0;522689.0;876849.0;574479.0;778622.0;614486.0;2766358.0
5xHND;246628.0;1.0;510738.0;848244.0;523344.0;666528.0;577026.0;2782279.0
5xIAD;240187.0;1.0;480946.0;860743.0;539431.0;668983.0;567238.0;2797259.0
5xLHR;547320.0;1.0;721618.0;0.0;619461.0;826507.0;663526.0;2776355.0
5xMIA;261992.0;1.0;564432.0;1012666.0;79096.0;687178.0;766373.0;2783050.0
5xPOA;306731.0;1.0;789796.0;935019.0;665593.0;98614.0;589381.0;2769653.0
5xSYD;410773.0;1.0;512688.0;854490.0;826418.0;726004.0;48825.0;2775589.0
